Sign1_Aries,Sign1_Cancer,Sign1_Capricorn,Sign1_Gemini,Sign1_Leo,Sign1_Libra,Sign1_Pisces,Sign1_Sagittarius,Sign1_Scorpio,Sign1_Taurus,Sign1_Virgo,Sign1_Modality_Fixed,Sign1_Modality_Mutable,Sign1_Element_Earth,Sign1_Element_Fire,Sign1_Element_Water,Sign2_Aries,Sign2_Cancer,Sign2_Capricorn,Sign2_Gemini,Sign2_Leo,Sign2_Libra,Sign2_Pisces,Sign2_Sagittarius,Sign2_Scorpio,Sign2_Taurus,Sign2_Virgo,Sign2_Modality_Fixed,Sign2_Modality_Mutable,Sign2_Element_Earth,Sign2_Element_Fire,Sign2_Element_Water,same_element,fire_air_pair,earth_water_pair,opposing_elements,fixed_fixed_pair,mutable_mutable_pair,cardinal_fixed_pair,cardinal_mutable_pair,fixed_mutable_pair,has_trait_energetic,has_trait_inventive,has_trait_meticulous,has_trait_jovial,has_trait_urbane,has_trait_dynamic,has_trait_good-humored,has_trait_patient,has_trait_humanitarian,has_trait_reliable,has_trait_confident,has_trait_eloquent,has_trait_reserved,has_trait_philosophical,has_trait_magnetic,has_trait_intelligent,has_trait_compassionate,has_trait_humorous,has_trait_security-loving,has_trait_independent,has_trait_kind,has_trait_enthusiastic,has_trait_Determined,has_trait_shrewd,has_trait_placid,has_trait_easygoing,has_trait_diligent,has_trait_sympathetic,has_trait_charming,has_trait_exciting,has_trait_Emotional,has_trait_Generous,has_trait_honest,has_trait_loyal,has_trait_youthful,has_trait_Adaptable,has_trait_Diplomatic,has_trait_warmhearted,has_trait_peaceable,has_trait_straightforward,has_trait_prudent,has_trait_analytical,has_trait_Patient,has_trait_imaginative,has_trait_idealistic,has_trait_original,has_trait_courageous,has_trait_freedom-loving,has_trait_intuitive,has_trait_versatile,has_trait_determined,has_trait_protective,has_trait_powerful,has_trait_Adventurous,has_trait_romantic,has_trait_practical,has_trait_selfless,has_trait_sensitive,has_trait_sociable,has_trait_ambitious,has_trait_intellectual,has_trait_creative,has_trait_lively,has_trait_careful,has_trait_persistent,has_trait_loving,has_trait_faithful,has_trait_pioneering,has_trait_cautious,has_trait_Imaginative,has_trait_quick-witted,has_trait_Modest,has_trait_emotional,has_trait_passionate,has_trait_forceful,has_trait_communicative,has_trait_shy,has_trait_disciplined,has_trait_witty,has_trait_Practical,has_trait_unworldly,has_trait_Friendly,has_trait_Optimistic,has_trait_expansive,has_trait_broad-minded,Compatibility_rate
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.98
False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.33
False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0.88
False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.67
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.27
False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0.88
False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.73
False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.88
False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.35
False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.85
